DER000;12.50
FLKE21;3.34
AS2808;22.21
MNO456;6.25
PQR789;9.99
STU012;15.75
VWX345;7.50
YZA678;11.99
BCD901;4.25
EFG234;8.50
HIJ567;3.75
KLM890;6.99
NOP123;10.25
QRS456;5.50
TUV789;12.99
WXY012;9.25
ZAB345;2.50
CDE678;14.99
FGH901;7.25
IJK234;3.99
LMN567;11.50
OPQ890;6.75
RST123;9.99
UVW456;4.25
XYZ789;8.50
ABC012;12.75
DEF345;5.99
GHI678;3.25
JKL901;10.50
MNO234;7.75
PQR567;4.99
STU890;13.25
VWX123;6.50
YZA456;11.99
BCD789;5.25
EFG012;8.50
HIJ345;3.75
KLM678;9.99
NOP901;14.25
QRS234;7.50
TUV567;2.75
WXY890;10.99
ZAB123;5.25
CDE456;11.50
FGH789;6.75
IJK012;9.99
LMN345;4.25
OPQ678;8.50
RST901;3.75
UVW234;12.50
XYZ567;7.99
ABC890;5.25
DEF123;10.50
